dt,open,high,low,close,volume
1595635200,2.2857,2.7669,2.11,2.66,363022.7005
1595721600,2.66,2.9893,2.2915,2.8599,251421.2274
1595808000,2.8599,2.9768,1.8833,2.2653,1069785.9719
1595894400,2.2653,2.2653,1.5047,1.6975,590502.2299
1595980800,1.6975,1.8014,1.0884,1.18,506858.1812
1596067200,1.18,1.2484,0.617,0.6795,791493.8937
1596153600,0.6795,1.1645,0.622,1.0036,706955.5766
1596240000,1.0036,1.378,0.9693,1.378,912247.8355
1596326400,1.378,1.3877,0.9724,1.0205,355551.245
1596412800,1.0205,1.0869,0.8742,0.8877,416651.0684
1596499200,0.8877,0.964,0.7827,0.7891,478905.8479
1596585600,0.7891,0.9333,0.7806,0.8052,254233.7287
1596672000,0.8052,0.8765,0.7222,0.7833,455412.2886
1596758400,0.7833,0.799,0.67,0.6861,259861.1855
1596844800,0.6861,0.7284,0.5893,0.601,366534.0425
1596931200,0.601,0.807,0.5388,0.7424,721181.4704
1597017600,0.7424,0.8628,0.7098,0.715,569984.96
1597104000,0.715,0.7275,0.6116,0.7081,515266.9546
1597190400,0.7081,0.9699,0.7016,0.8102,984329.8273
1597276800,0.8102,0.8899,0.6897,0.6897,530406.1506
1597363200,0.6897,0.7734,0.6701,0.6785,203714.9247
1597449600,0.6785,0.707,0.636,0.6403,166866.2132
1597536000,0.6403,0.6666,0.59,0.6069,168622.5685
1597622400,0.6069,0.6214,0.5515,0.5617,283292.3886
1597708800,0.5617,0.671,0.5563,0.5913,274613.2094
1597795200,0.5913,0.6607,0.5787,0.5947,273474.0893
1597881600,0.5947,0.65,0.5947,0.607,316082.6349
1597968000,0.607,0.98,0.6059,0.6329,647949.477
1598054400,0.6329,0.8399,0.6202,0.8155,236565.0157
1598140800,0.8155,0.8496,0.7279,0.7521,104854.1696
1598227200,0.7521,0.7984,0.7024,0.704,74977.0486
1598313600,0.704,0.7162,0.605,0.6475,81534.1077
1598400000,0.6475,0.7041,0.6178,0.6273,103864.9019
1598486400,0.6273,0.6715,0.606,0.6608,108755.1605
1598572800,0.6608,0.8607,0.6427,0.7809,329914.5046
1598659200,0.7809,1.3496,0.7646,1.33,473793.2545
1598745600,1.33,1.8741,1.33,1.8417,783040.5969
1598832000,1.8417,2.24,1.5692,2.2249,505432.4482
1598918400,2.2249,2.5071,1.984,2.2257,449545.7597
1599004800,2.2257,2.2324,1.1577,1.356,811695.3041
1599091200,1.356,1.4262,0.7601,0.7655,1018948.9676
1599177600,0.7655,0.8222,0.6948,0.7674,451977.5405
1599264000,0.7674,0.8645,0.589,0.6192,544098.4291
1599350400,0.6192,0.7373,0.589,0.7066,365753.2106
1599436800,0.7066,0.8148,0.6384,0.6803,481131.3224
1599523200,0.6803,0.7062,0.6395,0.658,103891.8822
1599609600,0.658,0.8619,0.6436,0.7605,279132.7085
1599696000,0.7605,1.2719,0.7605,1.0127,1173302.5427
1599782400,1.0127,1.0808,0.8435,0.941,237299.6623
1599868800,0.941,0.9509,0.7897,0.8172,170983.5174
1599955200,0.8172,0.8339,0.6903,0.7289,247495.7915
1600041600,0.7289,0.9284,0.7,0.7742,500162.7593
1600128000,0.7742,0.8519,0.74,0.7467,224965.1155
1600214400,0.7467,0.7903,0.7035,0.7338,208084.0
1600300800,0.7338,0.7965,0.7278,0.7676,138761.2077
1600387200,0.7676,0.8693,0.7571,0.7765,171448.6982
1600473600,0.7765,0.8304,0.7697,0.798,119114.7198
1600560000,0.798,0.8227,0.7048,0.7155,131487.563
1600646400,0.7155,0.7535,0.5621,0.6592,221045.8633
1600732800,0.6592,0.7274,0.6321,0.6948,136839.516
1600819200,0.6948,0.7471,0.6612,0.6681,123030.2149
1600905600,0.6681,0.736,0.654,0.727,58789.9283
1600992000,0.727,0.7783,0.7229,0.742,75553.1239
1601078400,0.742,0.748,0.7119,0.7119,38710.6816
1601164800,0.7119,0.7395,0.6829,0.6871,45343.9559
1601251200,0.6871,0.7263,0.6563,0.6664,131537.7601
1601337600,0.6664,0.6808,0.628,0.634,111648.427
1601424000,0.634,0.6979,0.6285,0.6782,106962.009
1601510400,0.6782,0.8916,0.6728,0.8295,165013.3881
1601596800,0.8295,1.11,0.7322,0.9421,282114.2072
1601683200,0.9428,1.0718,0.8761,0.9593,193079.341
1601769600,0.9593,0.9907,0.8345,0.8579,139254.2712
1601856000,0.8579,0.8786,0.7799,0.8111,57359.1623
1601942400,0.8111,0.8528,0.7301,0.7352,108214.5809
1602028800,0.7352,0.7665,0.6788,0.7113,50640.5984
1602115200,0.7113,0.781,0.6927,0.767,77872.8957
1602201600,0.767,0.8272,0.7261,0.7914,131395.7518
1602288000,0.7914,0.9045,0.7569,0.8426,89483.1466
1602374400,0.8426,0.9037,0.8059,0.8479,136851.0572
1602460800,0.8479,0.8722,0.7802,0.8167,97914.4763
1602547200,0.8167,0.833,0.7892,0.7892,27463.2291
1602633600,0.7892,0.9568,0.7858,0.8938,78983.7782
1602720000,0.8938,0.9744,0.8859,0.8951,70929.5131
1602806400,0.8951,0.9754,0.8707,0.942,40093.9968
1602892800,0.942,1.35,0.9371,1.2841,69552.0149
1602979200,1.2841,1.4816,0.9994,1.0567,162027.947
1603065600,1.0567,1.0829,0.8898,1.0253,74957.186
1603152000,1.0253,1.0279,0.8779,0.8782,50067.4258
1603238400,0.8782,1.1141,0.8779,0.9963,68093.0708
1603324800,0.9959,1.2054,0.912,1.1953,100626.5279
1603411200,1.1953,1.2,1.0846,1.1111,18208.864
1603497600,1.1111,1.2473,1.0884,1.2415,26803.536
1603584000,1.2415,1.347,1.1816,1.3131,152820.5125
1603670400,1.3131,1.3373,0.9861,1.116,138600.5839
1603756800,1.116,1.2573,1.0942,1.1749,116557.7077
1603843200,1.1749,1.2344,1.01,1.1101,43164.8833
1603929600,1.1101,1.1297,1.0265,1.0265,37196.6628
1604016000,1.0265,1.0426,0.822,0.8618,35051.0807
1604102400,0.8618,1.0617,0.852,1.0251,20978.3574
1604188800,1.0251,1.06,0.9658,1.06,63561.157
1604275200,1.06,1.1781,1.0533,1.1234,26241.9547
1604361600,1.1234,1.2397,1.058,1.2397,11790.4532
1604448000,1.2397,1.2703,1.1746,1.2616,6842.5524
1604534400,1.2616,1.2979,1.1855,1.2599,8025.2258
1604620800,1.2599,1.4414,1.1852,1.3336,29328.9681
1604707200,1.3336,1.3948,1.1999,1.2396,19907.4632
1604793600,1.2396,1.3755,1.2029,1.3358,15842.6
1604880000,1.3358,1.395,1.1656,1.2528,47765.1331
1604966400,1.2528,1.2784,1.1683,1.2675,7524.3006
1605052800,1.2675,1.3366,1.0908,1.2165,27066.6528
1605139200,1.2165,1.25,0.9921,1.0595,27583.5674
1605225600,1.0596,1.1732,1.0071,1.1606,38869.4701
1605312000,1.1606,1.1885,1.0016,1.0317,40958.4192
1605398400,1.0317,1.1178,1.0071,1.0359,48834.775
1605484800,1.0359,1.0449,1.0003,1.024,18603.1386
1605571200,1.024,1.0604,1.0147,1.0587,13461.1528
1605657600,1.0587,1.0609,0.9318,0.9536,36808.4541
1605744000,0.9536,0.9801,0.905,0.9475,80923.9672
1605830400,0.9475,1.1004,0.9342,1.0891,83833.1896
1605916800,1.0891,1.2298,0.9901,1.1735,187390.0064
1606003200,1.1723,1.2958,1.1075,1.2107,89438.1312
1606089600,1.2107,1.2107,1.1077,1.1545,76322.3475
1606176000,1.1545,1.3,1.1434,1.2964,49912.9131
1606262400,1.2964,1.3592,1.2048,1.2521,148584.1985
1606348800,1.2521,1.2877,1.0937,1.256,45976.1286
1606435200,1.256,1.3188,1.1291,1.1808,48539.5127
1606521600,1.1808,1.3016,1.1433,1.3,9014.7717
1606608000,1.3,1.4414,1.229,1.4207,78531.2374
1606694400,1.4207,1.5693,1.3635,1.4666,82432.3756
1606780800,1.4666,1.6416,1.3849,1.582,96947.8574
1606867200,1.582,1.7115,1.475,1.7039,64577.3726
1606953600,1.7039,1.73,1.453,1.6921,46660.6441
1607040000,1.6921,1.7157,1.1679,1.2083,112522.3394
1607126400,1.2083,1.4412,1.1822,1.362,32525.0802
1607212800,1.362,1.4283,1.1872,1.3061,30313.1646
1607299200,1.3061,1.3401,1.2398,1.31,10769.4071
1607385600,1.31,1.3367,1.057,1.086,84112.0143
1607472000,1.086,1.0867,0.8792,1.06,109397.784
1607558400,1.06,1.0669,0.8918,0.9174,79108.3876
1607644800,0.9174,0.9259,0.8301,0.8347,190353.9202
1607731200,0.8347,0.9427,0.8151,0.9427,73858.1532
1607817600,0.9427,1.1428,0.93,1.0869,113050.5894
1607904000,1.0869,1.1057,0.9931,1.0497,37013.5692
1607990400,1.0497,1.0805,0.99,0.991,80416.1519
1608076800,0.991,1.0516,0.9568,1.0132,81978.4803
1608163200,1.0132,1.0375,0.97,0.9717,46927.1599
1608249600,0.9717,1.0265,0.96,0.972,28058.4914
1608336000,0.972,0.9859,0.87,0.8852,49270.5328
1608422400,0.8852,0.9239,0.8733,0.8909,35586.0143
1608508800,0.8909,0.9127,0.7744,0.8177,148683.2223
1608595200,0.8177,0.8809,0.7972,0.8781,33915.471
1608681600,0.8781,0.8987,0.7873,0.8151,83396.5369
1608768000,0.8151,0.8377,0.7333,0.8244,76774.9793
1608854400,0.8244,0.8861,0.8142,0.8776,23680.0982
1608940800,0.8776,0.9536,0.8644,0.9184,21399.4149
1609027200,0.9184,0.99,0.9102,0.9378,71749.5219
1609113600,0.9378,1.0151,0.935,0.9564,106101.6233
1609200000,0.9564,0.9928,0.9055,0.9707,86533.0052
1609286400,0.9707,1.1224,0.9564,1.0417,116448.2044
1609372800,1.0417,1.0627,0.9673,0.9717,37275.46
1609459200,0.9717,0.9929,0.9233,0.9625,20016.4587
1609545600,0.9625,1.0408,0.9486,1.013,59210.5099
1609632000,1.013,1.2298,0.9634,1.1762,135942.588
1609718400,1.1762,1.2916,1.0112,1.1025,102848.2333
1609804800,1.1025,1.1794,0.9424,1.0153,101632.6595
1609891200,1.0153,1.1703,0.9489,1.1442,274885.3444
1609977600,1.1442,1.1876,1.0653,1.1176,101579.806
1610064000,1.1176,1.142,0.998,1.0774,85723.1649
1610150400,1.0774,1.0882,0.9569,1.0305,50181.3287
1610236800,1.032,1.0515,0.8665,0.9044,51679.5857
1610323200,0.9044,0.9053,0.7082,0.8489,148486.009
1610409600,0.8489,0.8769,0.7626,0.7945,80104.8338
1610496000,0.7945,0.91,0.7593,0.9082,71717.3833
1610582400,0.9082,0.9566,0.8731,0.9462,15844.998
